cat_no,category,sel,column,description,type,scale
18,Subject Preferences Halfway,x,intel1_s,How Important is  Intelligence to Subject Halfway Through Night,numeric,[1-10]
18,Subject Preferences Halfway,x,shar1_s,How Important is  Shared Interests to Subject Halfway Through Night,numeric,[1-10]
18,Subject Preferences Halfway,x,sinc1_s,How Important is  Sincerity to Subject Halfway Through Night,numeric,[1-10]
19,Subject Self-Assessment Halfway,x,amb3_s,Subject Self Rating on Ambition  Halfway Through Night,numeric,[1-10]
19,Subject Self-Assessment Halfway,x,attr3_s,Subject Self Rating on Attraction  Halfway Through Night,numeric,[1-10]
19,Subject Self-Assessment Halfway,x,fun3_s,Subject Self Rating on Funny  Halfway Through Night,numeric,[1-10]
19,Subject Self-Assessment Halfway,x,intel3_s,Subject Self Rating on Intelligence  Halfway Through Night,numeric,[1-10]
19,Subject Self-Assessment Halfway,x,satis_2,Subject Happiness with People Met   Day After Event,numeric,[1-10]
19,Subject Self-Assessment Halfway,x,sinc3_s,Subject Self Rating on Sincerity  Halfway Through Night,numeric,[1-10]
20,Subject Rating of Partner NoE,x,amb,Subject Rating of Partner Ambition  at Night of Event,numeric,[1-10]
20,Subject Rating of Partner NoE,x,attr,Subject Rating of Partner Attraction  at Night of Event,numeric,[1-10]
20,Subject Rating of Partner NoE,x,fun,Subject Rating of Partner Funny  at Night of Event,numeric,[1-10]
20,Subject Rating of Partner NoE,x,intel,Subject Rating of Partner Intelligence  at Night of Event,numeric,[1-10]
20,Subject Rating of Partner NoE,x,like,Subject Like for Partner at Night of Event,numeric,[1-10]
20,Subject Rating of Partner NoE,x,shar,Subject Rating of Partner Shared Interests  at Night of Event,numeric,[1-10]
20,Subject Rating of Partner NoE,x,sinc,Subject Rating of Partner Sincerity  at Night of Event,numeric,[1-10]
21,Partner Rating of Subject EoE,x,amb_o,Partner Rating of Subject on Ambition - EoE,numeric,[1-10]
21,Partner Rating of Subject EoE,x,attr_o,Partner Rating of Subject on Attractive - EoE,numeric,[1-10]
21,Partner Rating of Subject EoE,x,fun_o,Partner Rating of Subject on Funny - EoE,numeric,[1-10]
21,Partner Rating of Subject EoE,x,intel_o,Partner Rating of Subject on Intelligence - EoE,numeric,[1-10]
21,Partner Rating of Subject EoE,x,like_o,Like,numeric,
21,Partner Rating of Subject EoE,x,shar_o,Partner Rating of Subject on Shared Interests - EoE,numeric,[1-10]
21,Partner Rating of Subject EoE,x,sinc_o,Partner Rating of Subject on Sincerity - EoE,numeric,[1-10]
22,Subject Speculation re: Probability,x,prob,Probability Partner says Yes,numeric,
22,Partner Speculation re: Probability,x,prob_o,Probability Subject says Yes,numeric,
,Subject Feedback on Process,,length,Opinion on Length of Speed Dates,numeric,
,Subject Feedback on Process,,length_label,Opinion on Length of Speed Dates,categorical,
,Subject Feedback on Process,,numdat_2,Opinion on Number of Speed Dates,numeric,
,Subject Feedback on Process,,numdat_2_label,Opinion on Number of Speed Dates,categorical,
,Subject Reflection on Decision - Day After,,amb7_2,How Important Was Ambition in Your Decision - Day After Event,numeric,[0-100]
,Subject Reflection on Decision - Day After,,attr7_2,How Important Was Attraction in Your Decision - Day After Event,numeric,[0-100]
,Subject Reflection on Decision - Day After,,fun7_2,How Important Was Funny in Your Decision - Day After Event,numeric,[0-100]
,Subject Reflection on Decision - Day After,,intel7_2,How Important Was Intelligence in Your Decision - Day After Event,numeric,[0-100]
,Subject Reflection on Decision - Day After,,shar7_2,How Important Was Shared Interests in Your Decision - Day After Event,numeric,[0-100]
,Subject Reflection on Decision - Day After,,sinc7_2,How Important Was Sincerity in Your Decision - Day After Event,numeric,[0-100]
,Subject Preferences on Day After,,amb1_2,How Important is  Ambition to Subject - Day After Event,numeric,mixed
,Subject Preferences on Day After,,attr1_2,How Important is  Attraction to Subject - Day After Event,numeric,mixed
,Subject Preferences on Day After,,fun1_2,How Important is  Funny to Subject - Day After Event,numeric,mixed
,Subject Preferences on Day After,,intel1_2,How Important is  Intelligence to Subject - Day After Event,numeric,mixed
,Subject Preferences on Day After,,shar1_2,How Important is  Shared Interests to Subject - Day After Event,numeric,mixed
,Subject Preferences on Day After,,sinc1_2,How Important is  Sincerity to Subject - Day After Event,numeric,mixed
,Subject Speculation Others on Day After,,amb4_2,How Important is  Ambition to Most People - Day After Event,numeric,[0-100]
,Subject Speculation Others on Day After,,attr4_2,How Important is  Attraction to Most People - Day After Event,numeric,[0-100]
,Subject Speculation Others on Day After,,fun4_2,How Important is  Funny to Most People - Day After Event,numeric,[0-100]
,Subject Speculation Others on Day After,,intel4_2,How Important is  Intelligence to Most People - Day After Event,numeric,[0-100]
,Subject Speculation Others on Day After,,shar4_2,How Important is  Shared Interests to Most People - Day After Event,numeric,[0-100]
,Subject Speculation Others on Day After,,sinc4_2,How Important is  Sincerity to Most People - Day After Event,numeric,[0-100]
,Subject Speculation Opposite Sex on Day After,,amb2_2,How Important is Ambition to Opposite Sex  - Day After Event,numeric,[0-100]
,Subject Speculation Opposite Sex on Day After,,attr2_2,How Important is Attraction to Opposite Sex  - Day After Event,numeric,[0-100]
,Subject Speculation Opposite Sex on Day After,,fun2_2,How Important is Funny to Opposite Sex  - Day After Event,numeric,[0-100]
,Subject Speculation Opposite Sex on Day After,,intel2_2,How Important is Intelligence to Opposite Sex  - Day After Event,numeric,[0-100]
,Subject Speculation Opposite Sex on Day After,,shar2_2,How Important is Shared Interests to Opposite Sex  - Day After Event,numeric,[0-100]
,Subject Speculation Opposite Sex on Day After,,sinc2_2,How Important is Sincerity to Opposite Sex  - Day After Event,numeric,[0-100]
,Subject Self-Assessment Day After,,amb3_2,How Subject Measures Up to Ambition Preferences of Opposite Sex - Day After Event,numeric,[1-10]
,Subject Self-Assessment Day After,,attr3_2,How Subject Measures Up to Attraction Preferences of Opposite Sex - Day After Event,numeric,[1-10]
,Subject Self-Assessment Day After,,fun3_2,How Subject Measures Up to Funny Preferences of Opposite Sex - Day After Event,numeric,[1-10]
,Subject Self-Assessment Day After,,intel3_2,How Subject Measures Up to Intelligence Preferences of Opposite Sex - Day After Event,numeric,[1-10]
,Subject Self-Assessment Day After,,sinc3_2,How Subject Measures Up to Sincerity Preferences of Opposite Sex - Day After Event,numeric,[1-10]
,Subject Speculation re: Perception Day After,,amb5_2,How Subject Thinks he/she is Perceived w.r.t. Ambition By Others - Day After Event,numeric,[1-10]
,Subject Speculation re: Perception Day After,,attr5_2,How Subject Thinks he/she is Perceived w.r.t. Attraction By Others - Day After Event,numeric,[1-10]
,Subject Speculation re: Perception Day After,,fun5_2,How Subject Thinks he/she is Perceived w.r.t. Funny By Others - Day After Event,numeric,[1-10]
,Subject Speculation re: Perception Day After,,intel5_2,How Subject Thinks he/she is Perceived w.r.t. Intelligence By Others - Day After Event,numeric,[1-10]
,Subject Speculation re: Perception Day After,,sinc5_2,How Subject Thinks he/she is Perceived w.r.t. Sincerity By Others - Day After Event,numeric,[1-10]
,Subject Preferences Weeks After,,amb1_3,Importance of Ambition to Subject -3-4 Weeks After ,numeric,[0-100]
,Subject Speculation Opposite Sex' Preferences Weeks After,,amb2_3,How Important is Ambition to Opposite Sex  -3-4 Weeks After ,numeric,[1-10]
,Subject Self-Assessment Weeks After,,amb3_3,Subject Self Rating on Ambition  -3-4 Weeks After ,numeric,[1-10]
,Subject Speculation Other's Preferences Weeks After,,amb4_3,How Important is Ambition to Most other People -3-4 Weeks After ,numeric,[1-10]
,Subject Speculation on Perceptions Weeks After,,amb5_3,Subject's Opinion on Perception of Others w.r.t. Ambition  -3-4 Weeks After ,numeric,[1-10]
,Subject Reflection on Decision Weeks After,,amb7_3,Importance of Ambition to Subject's Decision at Night of Event - 3-4 Weeks After ,numeric,[0-100]
,Subject Preferences Weeks After,,attr1_3,Importance of Attraction to Subject -3-4 Weeks After ,numeric,[0-100]
,Subject Speculation Opposite Sex' Preferences Weeks After,,attr2_3,How Important is Attraction to Opposite Sex  -3-4 Weeks After ,numeric,[1-10]
,Subject Self-Assessment Weeks After,,attr3_3,Subject Self Rating on Attraction  -3-4 Weeks After ,numeric,[1-10]
,Subject Speculation Other's Preferences Weeks After,,attr4_3,How Important is Attraction to Most other People -3-4 Weeks After ,numeric,[1-10]
,Subject Speculation on Perceptions Weeks After,,attr5_3,Subject's Opinion on Perception of Others w.r.t. Attraction  -3-4 Weeks After ,numeric,[1-10]
,Subject Reflection on Decision Weeks After,,attr7_3,Importance of Attraction to Subject's Decision at Night of Event - 3-4 Weeks After ,numeric,[0-100]
,Follow Up,,date_3,Has Subject Been on Any Dates with Matches - 3-4 Weeks After,numeric,
,Subject Preferences Weeks After,,fun1_3,Importance of Funny to Subject -3-4 Weeks After ,numeric,[0-100]
,Subject Speculation Opposite Sex' Preferences Weeks After,,fun2_3,How Important is Funny to Opposite Sex  -3-4 Weeks After ,numeric,[1-10]
,Subject Self-Assessment Weeks After,,fun3_3,Subject Self Rating on Funny  -3-4 Weeks After ,numeric,[1-10]
,Subject Speculation Other's Preferences Weeks After,,fun4_3,How Important is Funny to Most other People -3-4 Weeks After ,numeric,[1-10]
,Subject Speculation on Perceptions Weeks After,,fun5_3,Subject's Opinion on Perception of Others w.r.t. Funny  -3-4 Weeks After ,numeric,[1-10]
,Subject Reflection on Decision Weeks After,,fun7_3,Importance of Funny to Subject's Decision at Night of Event - 3-4 Weeks After ,numeric,[0-100]
,Subject Preferences Weeks After,,intel1_3,Importance of Intelligence to Subject -3-4 Weeks After ,numeric,[0-100]
,Subject Speculation Opposite Sex' Preferences Weeks After,,intel2_3,How Important is Intelligence to Opposite Sex  -3-4 Weeks After ,numeric,[1-10]
,Subject Self-Assessment Weeks After,,intel3_3,Subject Self Rating on Intelligence  -3-4 Weeks After ,numeric,[1-10]
,Subject Speculation Other's Preferences Weeks After,,intel4_3,How Important is Intelligence to Most other People -3-4 Weeks After ,numeric,[1-10]
,Subject Speculation on Perceptions Weeks After,,intel5_3,Subject's Opinion on Perception of Others w.r.t. Intelligence  -3-4 Weeks After ,numeric,[1-10]
,Subject Reflection on Decision Weeks After,,intel7_3,Importance of Intelligence to Subject's Decision at Night of Event - 3-4 Weeks After ,numeric,[0-100]
,Follow Up,,num_in_3,Number of Dates with Matches - 3-4 Weeks After,numeric,
,Follow Up,,numdat_3,Number of Matches Subject has Dated   -3-4 Weeks After ,numeric,
,Subject Preferences Weeks After,,shar1_3,Importance of Shared Interests to Subject -3-4 Weeks After ,numeric,[0-100]
,Subject Speculation Opposite Sex' Preferences Weeks After,,shar2_3,How Important is Shared Interests to Opposite Sex  -3-4 Weeks After ,numeric,[1-10]
,Subject Speculation Other's Preferences Weeks After,,shar4_3,How Important is Shared Interests to Most other People -3-4 Weeks After ,numeric,[1-10]
,Subject Reflection on Decision Weeks After,,shar7_3,Importance of Shared Interests to Subject's Decision at Night of Event - 3-4 Weeks After ,numeric,[0-100]
,Subject Preferences Weeks After,,sinc1_3,Importance of Sincerity to Subject -3-4 Weeks After ,numeric,[0-100]
,Subject Speculation Opposite Sex' Preferences Weeks After,,sinc2_3,How Important is Sincerity to Opposite Sex  -3-4 Weeks After ,numeric,[1-10]
,Subject Self-Assessment Weeks After,,sinc3_3,Subject Self Rating on Sincerity  -3-4 Weeks After ,numeric,[1-10]
,Subject Speculation Other's Preferences Weeks After,,sinc4_3,How Important is Sincerity to Most other People -3-4 Weeks After ,numeric,[1-10]
,Subject Speculation on Perceptions Weeks After,,sinc5_3,Subject's Opinion on Perception of Others w.r.t. Sincerity  -3-4 Weeks After ,numeric,[1-10]
,Subject Reflection on Decision Weeks After,,sinc7_3,Importance of Sincerity to Subject's Decision at Night of Event - 3-4 Weeks After ,numeric,[0-100]
,Follow Up,,them_cal,Number of Partners that Contacted Subject   -3-4 Weeks After ,numeric,
,Follow Up,,you_call,Number of Partners Contacted by Subject   -3-4 Weeks After ,numeric,
